,artist,title,year,†artist,*artist
N03054,Dante Gabriel Rossetti,Monna Vanna,1850,1882,1828
T07519,John Currin,Honeymoon Nude,1960,1962,1962
N06188,Sir Stanley Spencer,Self-Portrait,1910,1959,1891
T00772,Philip James De Loutherbourg,An Avalanche in the Alps,1760,1812,1740
N00079,Sir Joshua Reynolds,Three Ladies Adorning a Term of Hymen,1750,1792,1723
T01077,Pierre Bonnard,"Bathing Woman, Seen from the Back",1890,1947,1867
TW1258,Joseph Mallord William Turner,"The Burning of the House of Lords and Commons, 16th October 1834",1800,1851,1775
N01043,James Ward,"Gordale Scar (A View of Gordale, in the Manor of East Malham in Craven, Yorkshire, the Property of Lord Ribblesdale)",1800,1859,1769
N01990,Joseph Mallord William Turner,Sunrise with Sea Monsters,1800,1851,1775
N04102,John Singer Sargent,Study of Mme Gautreau,1880,1925,1856
N04683,Pablo Picasso,Flowers,1910,1973,1881
N02059,Charles Wellington Furse,Diana of the Uplands,1880,1904,1868
AR00083,Jenny Holzer,Protect Protect,1950,1950,1950
N06194,Natalia Goncharova,Linen,1910,1962,1881
T00145,Pablo Picasso,"Goat’s Skull, Bottle and Candle",1910,1973,1881
N04622,James Abbott McNeill Whistler,Harmony in Grey and Green: Miss Cicely Alexander,1860,1903,1834
T13636,Giorgio Morandi,Still Life,1910,1964,1890
N00182,Sir Joshua Reynolds,A Child’s Portrait in Different Views: ‘Angel’s Heads’,1750,1792,1723
T03028,Marcus Gheeraerts II,Portrait of Captain Thomas Lee,550,1636,2
N05596,Richard Wilson,"Llyn-y-Cau, Cader Idris",1740,1782,1713
T00295,George Stubbs,Mares and Foals in a River Landscape,1750,1806,1724
T03690,Joan Miró,A Star Caresses the Breast of a Negress (Painting Poem),1920,1983,1893
T05501,Barnett Newman,Moment,1930,1970,1905
T01108,Willem de Kooning,The Visit,1930,1997,1904
N01500,Robert Braithwaite Martineau,The Last Day in the Old Home,1840,1869,1826
N05916,Edward Collier,Still Life with a Volume of Wither’s ‘Emblemes’,1680,1708,1662
N05065,James Abbott McNeill Whistler,Crepuscule in Flesh Colour and Green: Valparaiso,1860,1903,1834
N01584,"Sir John Everett Millais, Bt",Speak! Speak!,1850,1896,1829
N04361,Théodore Roussel,The Reading Girl,1870,1926,1847
N06131,Francis Bacon,Dog,1940,1992,1909
N00523,Joseph Mallord William Turner,Ancient Rome; Agrippina Landing with the Ashes of Germanicus,1800,1851,1775
N04665,Joseph Mallord William Turner,Sun Setting over a Lake,1800,1851,1775
N02476,Arthur Hughes,April Love,1860,1915,1832
N00503,Joseph Mallord William Turner,"Rome, from the Vatican. Raffaelle, Accompanied by La Fornarina, Preparing his Pictures for the Decoration of the Loggia",1800,1851,1775
T05217,Lisa Milroy,Light Bulbs,1960,1959,1959
T06736,Sir Nathaniel Dance-Holland,The Meeting of Dido and Aeneas,1760,1811,1735
TW0948,Joseph Mallord William Turner,"Helvoetsluys; - the City of Utrecht, 64, Going to Sea",1800,1851,1775
N00493,Joseph Mallord William Turner,The Deluge,1800,1851,1775
N00558,Joseph Mallord William Turner,A Disaster at Sea,1800,1851,1775
N01645,George Frederic Watts,Love and Death,1850,1904,1817
T07987,Dorothea Tanning,Some Roses and Their Phantoms,1940,2012,1910
N04787,John Singer Sargent,Vernon Lee,1880,1925,1856
T03374,Theo van Doesburg,Counter-Composition VI,1900,1931,1883
N03708,John Singer Sargent,"Ena and Betty, Daughters of Asher and Mrs Wertheimer",1880,1925,1856
T00676,Victor Vasarely,Supernovae,1940,1997,1908
