,artist,title,year,†artist,*artist
T00441,Ray Parker,Untitled,1940,1990,1922
T00055,George Morland,The Tea Garden,1780,1804,1763
T01140,William Edwards Millner,A Wayside Gossip,1860,1895,1849
N03657,Henri Le Sidaner,Moonlight at Gerberoy,1890,1939,1862
AR00084,Jenny Holzer,Shape the Battlespace,1950,1950,1950
T04908,Mario Dubsky,Cabaret Valhalla,1950,1985,1939
T02076,Robert Colquhoun,The Fortune Teller,1930,1962,1914
T06666,Martin Bradley,Personnage Jaune,1930,1931,1931
N02664,Richard Parkes Bonington,A Distant View of St-Omer,1810,1828,1802
N00430,Edward Matthew Ward,"Doctor Johnson in the Ante-Room of the Lord Chesterfield Waiting for an Audience, 1748",1840,1879,1816
N02706,Joseph Mallord William Turner,Willows beside a Stream,1800,1851,1775
N03387,Joseph Mallord William Turner,Italian Landscape with Bridge and Tower,1800,1851,1775
N04473,Annie Louisa Swynnerton,The Convalescent,1870,1933,1844
N01595,William Small,The Last Match,1870,1931,1843
T13567,Anwar Jalal Shemza,Meem Two,1950,1985,1928
N01328,After Samuel Scott,A View of the Thames with the York Buildings Water Tower,1730,1772,1702
N05635,Sir Joshua Reynolds,The Thames from Richmond Hill,1750,1792,1723
N06066,Allan Ramsay,Lady Hall of Dunglass,1740,1784,1713
T03437,James Pollard,Trolling for Pike in the River Lee,1820,1867,1792
N05071,Othon Friesz,Woman at a Window,1900,1949,1879
N01968,Edward William Cooke,"Boat, near Venice",1830,1880,1811
N02119,James Charles,Will It Rain?,1870,1906,1851
T04117,Nancy Carline,Supper on the Terrace,1940,2004,1909
N04471,James Bateman,Pastoral,1910,1959,1893
T01881,George Barret Senior,"River Scene with Watermill, Figures and Cows",620,1784,32
N01290,Richard Wilson,"Landscape with Bathers, Cattle and Ruin",1740,1782,1713
T02325,Carel Weight,Clapham Junction,1940,1997,1908
N03514,Frederick Walker,The Old Gate,1850,1875,1840
N01076,"Unknown artist, Britain",Self-Portrait of an Unknown Artist at the Age of Twenty-two,0,-1,-1
TW1209,Joseph Mallord William Turner,"The Seat of William Moffatt Esq., at Mortlake. Early (Summer’s) Morning",1800,1851,1775
N05476,Joseph Mallord William Turner,Lake Lucerne: the Bay of Uri from above Brunnen,1800,1851,1775
N04410,Sir Matthew Smith,Peonies,1910,1959,1879
T06493,Sir Matthew Smith,Landscape near Antibes,1910,1959,1879
T01926,Henry Singleton,Palemon and Lavinia,1790,1839,1766
T05724,Sean Scully,White Window,1940,1945,1945
T00505,William Scott,Ochre Still Life,1940,1989,1913
N04791,John Singer Sargent,Val d’Aosta,1880,1925,1856
T07809,Ethel Sands,Flowers in a Jug,1900,1962,1873
T03436,James Pollard,Fly Fishing in the River Lee near the Ferry Boat Inn,1820,1867,1792
N01538,Erskine Nicol,The Emigrants,1850,1904,1825
N04362,Mary McEvoy,Interior: Girl Reading,1890,1941,1870
N03958,Sir John Lavery,The Jockeys’ Dressing Room at Ascot,1880,1941,1856
T03292,William Johnstone,Golgotha,1920,1981,1897
T06872,Edward Halliday,Christian and Hopeful Arrive before the Celestial City,1930,1984,1902
N04566,Duncan Grant,Football,1920,1978,1885
N06231,Mark Gertler,Jewish Family,1910,1939,1891
T01778,Roger Fry,"Landscape with Shepherd, near Villa Madama, Rome",1890,1934,1866
N04581,Henri Fantin-Latour,Self-Portrait,1860,1904,1836
N04702,Frederick Brown,Portrait of the Painter,1880,1941,1851
T07133,Michael Ayrton,Portrait of Wyndham Lewis,1940,1975,1921
N01552,Samuel Waller,Sweethearts and Wives,1870,1903,1850
N05049,"Unknown artist, Britain",A Family Group in a Landscape,0,-1,-1
T00040,Henry Tonks,Sodales - Mr Steer and Mr Sickert,1890,1937,1862
L01140,Graham Sutherland OM,Portrait of Sir Charles Clore,1930,1980,1903
T02388,George Stubbs,"Newmarket Heath, with a Rubbing-Down House",1750,1806,1724
T00231,Paul Serusier,Roof Tops in Paris,1880,1927,1863
N05052,John Singer Sargent,Sir Philip Sassoon,1880,1925,1856
N04542,Sir Walter Russell,Cordelia,1890,1949,1867
N03844,Sir William Rothenstein,Two Women,1900,1945,1872
N05850,George Romney,Tom Hayley as Robin Goodfellow,1760,1802,1734
N01516,Briton Riviere,Giants at Play,1870,1920,1840
T11976,Ged Quinn,Cross in the Wilderness,1960,1963,1963
T03922,John Piper,Yarnton Monument,1930,1992,1903
T05847,Mabel Nicholson,Family Group,1890,1918,1871
N04381,Sir Charles John Holmes,Whernside,1890,1936,1868
N02736,William Hogarth,"Benjamin Hoadly, Bishop of Winchester",1720,1764,1697
T01887,Harry Hall,John Barham Day with his Sons John and William on Newmarket Heath,1840,1882,1813
T06770,Robin Guthrie,Sermon on the Mount,1920,1971,1902
N05216,Walter Greaves,Battersea Reach,1870,1930,1846
T07456,Paul Feiler,"Vertical Reflections, Blue",1950,2013,1918
N05966,John Constable,Mrs James Andrew,1800,1837,1776
T00558,Bryan Wynter,Seedtime,1930,1975,1915
T01241,Alfred Wolmark,Decorative Still Life,1900,1961,1877
N03678,Francis Wheatley,A Family Group in a Landscape,1760,1801,1747
N00541,Joseph Mallord William Turner,Venice - Noon,1800,1851,1775
N00321,Thomas Stothard,Intemperance: Mark Antony and Cleopatra,1780,1834,1755
N04856,James Sant,The Duet,1850,1916,1820
T01049,Allan Ramsay,"Alexander Boswell, Lord Auchinleck",1740,1784,1713
T11921,Alice Neel,Kenneth Dolittle,1930,1984,1900
T06549,Robert Medley,Summer Eclogue No. 1: Cyclists,1930,1994,1905
N02117,Alphonse Legros,John Gray,1860,1911,1837
N01499,William Hilton the Younger,Nature Blowing Bubbles for her Children,1800,1839,1786
T03414,Edward Reginald Frampton,Brittany: 1914,1890,1923,1872
T06684,Frank Auerbach,Study after Titian II,1930,1931,1931
T06681,Michael Andrews,Study for a Man in a Landscape (Digswell),1950,1995,1928
T03289,Bryan Wynter,Mars Ascends,1930,1975,1915
T03030,"Unknown artist, Britain","Gertrude Sadler, Lady Aston",0,-1,-1
T14803,Luc Tuymans,The Shore,1960,1958,1958
TW0535,Joseph Mallord William Turner,"Venice, from the Canale della Giudecca, Chiesa di S. Maria della Salute, &c.",1800,1851,1775
N03619,Annie Louisa Swynnerton,Oreads,1870,1933,1844
N04670,Gilbert Spencer,A Cotswold Farm,1920,1979,1892
T01869,Sir William Rothenstein,Portrait of Sir John Rothenstein C.B.E.,1900,1945,1872
N01840,Sir Joshua Reynolds,Sketch for ‘The 4th Duke of Marlborough and his Family’,1750,1792,1723
T02392,Wolfgang Paalen,The Messenger,1920,1959,1905
T06679,Winifred Nicholson,Recollect,1920,1981,1893
T01899,William Mulready,The Rattle,1810,1863,1786
N06080,Ambrose McEvoy,"Bessborough Street, Pimlico",1890,1927,1877
N01788,"Frederick Richard Lee, Sir Edwin Henry Landseer",Scottish Landscape: Bringing in a Stag (figure and animals by Sir E. Landseer),1830,1873,1802
T02386,John Singleton Copley,Portrait of Mrs Gill,1760,1815,1738
N04618,Stephen Bone,Charles Aitken,1920,1958,1904
N05151,Leonard Appelbee,The King Crab,1940,2000,1914
N06202,Jankel Adler,No Man’s Land,1910,1949,1895
N03231,Henry Tonks,Portrait of the Artist,1890,1937,1862
N04806,George Spencer Watson,A Lady in Black,1890,1934,1869
N01964,Harold Speed,"The Alcantara, Toledo, by Moonlight",1900,1957,1872
T03114,Mario Sironi,Mountains,1910,1961,1885
N05450,Samuel Scott,"A Morning, with a View of Cuckold’s Point",1730,1772,1702
T05872,Colin Morison,Andromache Offering Sacrifice to Hector’s Shade,1760,1810,1732
T00434,Godfrey Miller,Triptych with Figures,1920,1964,1893
N06281,Manner of Thomas Gainsborough,Landscape: Sheep in a Woodland Glade,1750,1788,1727
N02657,John Constable,A Windmill near Brighton,1800,1837,1776
N06211,Robert Colquhoun,Woman with Leaping Cat,1930,1962,1914
T01902,Maxwell Ashby Armfield,Oh! Willo! Willo! Willo!,1910,1972,1881
N02984,Richard Wilson,The Inner Temple after the Fire of 4 January 1737,1740,1782,1713
N02066,Joseph Mallord William Turner,"The Arch of Constantine, Rome",1800,1851,1775
T00523,Ian Stephenson,Polychromatic G,1960,2000,1934
N05090,Walter Richard Sickert,L’Américaine,1890,1942,1860
N05214,Geoffrey Rhoades,"Winter Afternoon, Chalk Farm",1930,1980,1898
T01770,Rodrigo Moynihan,Painting,1940,1990,1910
T05498,"Sir Cedric Morris, Bt",Peregrine Falcons,1920,1982,1889
T07320,Sylvia Melland,Still Life with an Open Window,1930,1993,1906
T04118,Wyndham Lewis,Nigel Tangye,1910,1957,1882
N01321,Cornelius Johnson,Cornelia Veth,1620,1661,1593
T03339,Anthony Eyton,"Open Window, Spitalfields",1920,1923,1923
N00435,Thomas Sidney Cooper,Milking Time - Study of a Farm-Yard near Canterbury,1840,1902,1803
T00691,Prunella Clough,"Rockery, 1963",1950,1999,1919
N05754,Jacques-Emile Blanche,Charles Conder,1890,1942,1861
AR00031,Georg Baselitz,Folkdance Melancholia,1940,1938,1938
T04851,Marie-Louise Von Motesiczky,From Night into Day,1940,1996,1906
N00540,Joseph Mallord William Turner,"Venice Quay, Ducal Palace",1800,1851,1775
TW0359,Joseph Mallord William Turner,"Schloss Rosenau, Seat of HRH Prince Albert of Coburg, near Coburg, Germany",1800,1851,1775
T03881,Joseph Mallord William Turner,Hulks on the Tamar,1800,1851,1775
TW1052,Joseph Mallord William Turner,Europa and the Bull,1800,1851,1775
N01986,Joseph Mallord William Turner,"Brighton Beach, with the Chain Pier in the Distance, from the West",1800,1851,1775
T00720,Adrian Stokes,Still Life,1930,1972,1902
N06185,Philip Wilson Steer,The White Yacht,1890,1942,1860
N05760,Sir Matthew Smith,Apples,1910,1959,1879
N01668,George Romney,Lady Hamilton as Cassandra,1760,1802,1734
T14193,Martin Ferdinand Quadal,Portrait of a Man playing a Flute,1760,1808,1736
N01908,John Phillip,The Prison Window,1830,1867,1817
T06485,Henry Monro,The Disgrace of Wolsey,1800,1814,1791
T07602,Louisa Matthiasdottir,Still Life with Frying Pan and Red Cabbage,1940,2000,1917
T06693,John Lessore,Apollo and Daphne,1940,1939,1939
N05334,Edward Le Bas,Saloon Bar,1920,1966,1904
T03237,Gilbert Jackson,A Lady of the Grenville Family and her Son,1630,1642,1621
T00351,Thomas Hickey,A Girl Leaning against a Piano,1770,1824,1741
N05764,Duncan Grant,Lytton Strachey. Verso: Crime and Punishment,1920,1978,1885
N02928,Thomas Gainsborough,The Housemaid,1750,1788,1727
N01385,Augustus Leopold Egg,Beatrix Knighting Esmond,1830,1863,1816
T00349,John Dodgson,Giant Snail,1920,1969,1890
T06969,Richard Cosway,"Portrait of a Gentleman, his Wife and Sister, in the Character of Fortitude introducing Hope as the Companion to Distress (‘The Witts Family Group’)",1770,1821,1742
T00537,Sir William Coldstream,Studio Interior,1930,1987,1908
T07230,Stephen Bone,Stockholm in Winter,1920,1958,1904
N04688,Sir William Beechey,Thomas Law Hodges,1780,1839,1753
N04446,Joseph Mallord William Turner,"Venice, the Piazzetta with the Ceremony of the Doge Marrying the Sea",1800,1851,1775
N05488,Joseph Mallord William Turner,Scene in Venice,1800,1851,1775
T01235,Samuel Scott,"A Sunset, with a View of Nine Elms",1730,1772,1702
T02370,John Nost Sartorius,The Earl of Darlington Fox-Hunting with the Raby Pack: Full Cry,1780,1828,1759
N05349,Sir William Rothenstein,James Stephens,1900,1945,1872
N03002,Glyn Warren Philpot,The Man in Black,1900,1937,1884
N01656,Thomas Hope McLachlan,Evening Quiet,1860,1897,1845
N01588,Andrew Carrick Gow,Cromwell at Dunbar,1870,1920,1848
T04925,Alan Gouk,Cretan Premonition,1940,1939,1939
T00027,Spencer Gore,North London Girl,1890,1914,1878
N01562,Frederick Goodall,The Ploughman and the Shepherdess: Time of the Evening Prayer,1850,1904,1822
T03439,John Ferneley I,"Major Healey, Wearing Raby Hunt Uniform, Riding with the Sedgefield Hunt",1810,1860,1782
N04832,Hilda Fearon,The Tea Party,1890,1917,1878
T00087,Roberto Crippa,Aurora Borealis,1940,1972,1921
T12271,Fred Williams,"Dry Creek Bed, Werribee Gorge I",1950,1982,1927
N02977,William Turner of Oxford,A Water Mill,1810,1862,1789
N05485,Joseph Mallord William Turner,Seascape with a Yacht (?),1800,1851,1775
N02698,Joseph Mallord William Turner,Coast Scene with Fishermen and Boats,1800,1851,1775
T01994,Sir Matthew Smith,Fruit in a Dish,1910,1959,1879
N05087,Walter Richard Sickert,"Belvedere, Bath",1890,1942,1860
A00839,Thomas Matthews Rooke,Ruth and Naomi,1880,1942,1842
N01518,Briton Riviere,A Blockade Runner,1870,1920,1840
N04400,Sir William Orpen,Dame Madge Kendal,1900,1931,1878
T13316,Marcellus Laroon the Younger,A Musical Assembly,1710,1772,1679
T06880,Peter Kinley,Four Sheep,1950,1988,1926
T01110,J.G.S. Herbert,Allegorical Still-Life,1860,1862,1862
N00453,Alexander Fraser,Interior of a Cottage in the Hebrides,1810,1865,1786
N01245,John Constable,"The Church Porch, East Bergholt",1800,1837,1776
N00377,George Clint,Falstaff’s Assignation with Mrs Ford,1800,1854,1770
T04878,Jesse Dale Cast,Miss Beatrice M. Dale Cast,1930,1976,1900
T03338,David Bomberg,Lilian Painting David (Painting Lilian),1910,1957,1890
T00479,Trevor Bell,Overcast,1960,2017,1930
T01882,Hugh Barron,The Children of George Bond of Ditchleys,1760,1791,1747
N04659,Joseph Mallord William Turner,Venetian Festival,1800,1851,1775
T02376,Peter Tillemans,Foxhunting in Wooded Country,1700,1734,1684
T03113,Graham Sutherland OM,Standing Forms II,1930,1980,1903
T01207,Sir Stanley Spencer,Turk’s Boatyard Cookham,1910,1959,1891
T13333,Anwar Jalal Shemza,Chessmen One,1950,1985,1928
N03710,John Singer Sargent,"Edward, Son of Asher Wertheimer",1880,1925,1856
T06966,Sir William Blake Richmond,The Slave,1870,1921,1842
T00218,Constant Permeke,Harvest,1910,1952,1886
N02996,Henry Muhrman,Kew Bridge,1870,1916,1854
T00100,Wyndham Lewis,Mrs Schiff,1910,1957,1882
N05027,Henry Lamb,Irish Girls,1910,1960,1883
N02284,Thomas Gainsborough,The Bridge,1750,1788,1727
N02072,David Farquharson,Birnam Wood,1860,1907,1839
T00435,Martin Bloch,"Casa Rigo, Lake Garda II",1910,1954,1883
T00883,Martin Bloch,Afternoon in Bangor,1910,1954,1883
T02352,Henry Thomas Alken,The Belvoir Hunt: The Meet,1810,1851,1785
N04434,Johan Zoffany,Stephen Rimbault,1760,1810,1733
TW0938,Joseph Mallord William Turner,Ostend,1800,1851,1775
N02700,Joseph Mallord William Turner,Margate,1800,1851,1775
T12356,George Spencer Watson,Hilda and Maggie,1890,1934,1869
T14807,Tomie Ohtake,Untitled (from the series Blind Paintings),1950,2015,1913
N04200,Ambrose McEvoy,Mrs Claude Johnson,1890,1927,1877
T00102,Henry Lamb,Lamentation,1910,1960,1883
T13199,Sir Herbert James Gunn,Portrait of Sir William Oliphant Hutchison,1920,1964,1893
N01484,Thomas Gainsborough,An Old Horse,1750,1788,1727
N01593,Joseph Clark,Mother’s Darling,1860,1926,1834
N03677,Philip Hermogenes Calderon,By the Waters of Babylon,1850,1898,1833
N04196,Thomas Barker of Bath,"Landscape, near Bath",1790,1847,1769
T03247,Frank Auerbach,To the Studios,1930,1931,1931
N05519,Joseph Mallord William Turner,"The Thames Glimpsed between Trees, possibly at Kew Bridge",1800,1851,1775
T11973,Philip Wilson Steer,Model Seated Before a Mirror,1890,1942,1860
N06174,Walter Richard Sickert,The New Bedford,1890,1942,1860
N04651,Walter Richard Sickert,The Front at Hove (Turpe Senex Miles Turpe Senilis Amor),1890,1942,1860
N03820,William Shackleton,The Mackerel Nets,1890,1933,1872
T03357,Joseph Severn,The Infant of the Apocalypse Saved from the Dragon,1820,1879,1793
N01556,Walter Dendy Sadler,A Good Story,1880,1923,1854
T15036,Rosalind Nashashibi,In Vivian’s Garden,1970,1973,1973
T06800,Fernand Léger,Three Bottles,1910,1955,1881
N02262,John William Buxton Knight,Old December’s Bareness Everywhere,1860,1908,1842
N03558,Spencer Gore,"From a Window in Cambrian Road, Richmond",1890,1914,1878
N01774,Henry William Banks Davis,Approaching Night,1860,1914,1833
N04407,Charles Conder,Swanage,1880,1909,1868
N04750,Robert Bevan,Horse Sale at the Barbican,1880,1925,1865
N04654,Francis Wheatley,Man with a Dog,1760,1801,1747
N05512,Attributed to Joseph Mallord William Turner,Tivoli and the Roman Campagna (after Wilson),1800,1851,1775
TW0874,Joseph Mallord William Turner,The Fountain of Indolence,1800,1851,1775
N05486,Joseph Mallord William Turner,Sunset From the Top of the Rigi,1800,1851,1775
TW1314,Joseph Mallord William Turner,"Boats Carrying out Anchors and Cables to Dutch Men of War, in 1665",1800,1851,1775
N03668,Philip Wilson Steer,A Procession of Yachts,1890,1942,1860
N05313,Walter Richard Sickert,L’Armoire à Glace,1890,1942,1860
L04015,Joan Semmel,Secret Spaces,1930,1932,1932
N04617,Frank Huddlestone Potter,Girl Resting at a Piano,1860,1887,1845
T03434,James Pollard,"Coursers Taking the Field at Hatfield Park, Hertfordshire, the Seat of the Marquess of Salisbury",1820,1867,1792
T00858,Algernon Newton,A Gleam of Sunlight,1910,1968,1880
L02408,Marlow Moss,"Untitled (White, Black, Blue and Yellow)",1910,1958,1889
T00924,Sir Thomas Monnington,Square Design,1930,1976,1902
T07289,Maria Lalic,History Painting 14 Greek. Massicot,1950,1952,1952
N02530,Cornelius Johnson,Portrait of an Unknown Lady,1620,1661,1593
T00908,Patrick George,Hickbush,1950,2016,1923
N04611,Charles Wellington Furse,"Field-Marshal Earl Roberts, KG, VC, OM",1880,1904,1868
T00171,Ronald Ossory Dunlop,Myself with Cadger’s Pipe,1920,1973,1894
N02658,John Constable,A Bank on Hampstead Heath,1800,1837,1776
N02998,Philip Connard,"Jane, Evelyn, James and Helen",1900,1958,1875
T00122,John Bratby,Elm Park Gardens,1950,1992,1928
T00223,Walter Richard Sickert,Claude Phillip Martin,1890,1942,1860
T15035,Reuben Mednikoff,"December 31, 1937, 8.00pm (Oompah)",1930,1972,1906
T03433,Benjamin Marshall,"Portraits of Cattle of the Improved Short-Horned Breed, the Property of J. Wilkinson Esq. of Lenton, near Nottingham",1790,1835,1768
N04929,James Bolivar Manson,Self-Portrait,1900,1945,1879
N01597,Robert Walker Macbeth,The Cast Shoe,1870,1910,1848
N04913,Wyndham Lewis,Red Scene,1910,1957,1882
T13310,Piotr Janas,Slash,1970,1970,1970
T00756,Ozias Humphry,"Elizabeth, Countess of Craven, Later Margravine of Anspach",1760,1810,1742
AR01132,Jenny Holzer,Phase I... Running Start Shape the Battlespace pewter,1950,1950,1950
N04149,Charles Edward Holloway,The St Vincent in Portsmouth Harbour,1860,1897,1838
T00711,Patrick Heron,Purple Shape in Blue : 1964,1950,1999,1920
T01043,Mark Gertler,The Basket of Fruit,1910,1939,1891
T00029,Roy De Maistre,Pieta,1920,1968,1894
T00184,Robert Colquhoun,Woman with Still Life,1930,1962,1914
N03993,Neville Cain,John S. Sargent,1880,1935,1855
T00334,Eugène Berman,The Jug on the Window,1920,1972,1899
N05749,Vanessa Bell,Pheasants,1910,1961,1879
N05806,George Frederic Watts,Mrs George Augustus Frederick Cavendish-Bentinck and her Children,1850,1904,1817
T01726,Graham Sutherland OM,Form over River,1930,1980,1903
N05618,Philip Wilson Steer,What of the War?,1890,1942,1860
N04678,Sir Stanley Spencer,"Terry’s Lane, Cookham",1910,1959,1891
T00286,Jack Smith,Bottles in Light and Shadow,1960,2011,1928
N05296,Walter Richard Sickert,Two Women on a Sofa - Le Tose,1890,1942,1860
T01115,James Seymour,A Kill at Ashdown Park,1720,1752,1702
T03854,Charles Reuben Ryley,Oscar Bringing Back Annir’s Daughter,1770,1798,1752
A00841,Thomas Matthews Rooke,"Naomi, Ruth and Obed",1880,1942,1842
T00584,Mary Potter,East Coast Window,1930,1981,1900
N01628,Ernest Parton,The Waning of the Year,1880,1938,1845
T00884,Sir Peter Lely,Boy Playing a Jew’s Harp,1640,1680,1618
T07114,Nathaniel Hone,"Portrait of a Lady in a Blue Dress, possibly Mrs Mary Barnardiston",1740,1784,1718
T01780,Roger Fry,Still Life with T’ang Horse,1890,1934,1866
N02134,Henri Fantin-Latour,A Plate of Apples,1860,1904,1836
T14096,Gillian Carnegie,Hanser,1970,1971,1971
T03264,David Bomberg,San Justo and Toledo Hills,1910,1957,1890
TW0294,Joseph Mallord William Turner,Plompton Rocks,1800,1851,1775
T07727,Charles Spencelayh,No Watermark,1900,1958,1865
T00221,Walter Richard Sickert,"Sir Alec Martin, KBE",1890,1942,1860
N03621,Walter Richard Sickert,A Marengo,1890,1942,1860
T01096,William Scott,Seated Nude,1940,1989,1913
N01837,Sir Henry Raeburn,Mrs H.W. Lauzun,1780,1823,1756
T02006,John Quinton Pringle,Children at the Burn,1880,1925,1864
N04748,Lucien Pissarro,"All Saints’ Church, Hastings: Sun and Mist",1890,1944,1863
N00417,Henry William Pickersgill,A Syrian Maid,1810,1875,1782
T12549,Ernst Wilhelm Nay,White Spring,1920,1968,1902
T03348,Bernard Meninsky,Sleeping Woman in a Landscape,1910,1950,1891
N00620,"Frederick Richard Lee, Thomas Sidney Cooper",A River Scene (cattle by Thomas Sidney Cooper),1830,1879,1803
T05466,Sir Thomas Lawrence,"Philadelphia Hannah, 1st Viscountess Cremorne",1790,1830,1769
N01673,John Henry Yeend King,Milking Time,1880,1924,1855
N05122,Albert Houthuesen,Crown of Thorns,1930,1979,1903
N03620,Arthur Boyd Houghton,Punch and Judy,1850,1875,1836
N05582,John Hoppner,Mrs Williams,1780,1810,1758
T00146,Anthony Gross,"Grey Landscape, Le Boulvé",1930,1984,1905
N06179,Othon Friesz,The Castle of Falaise (Evening),1900,1949,1879
T00376,Prunella Clough,Cooling Tower II,1950,1999,1919
T00284,The Hon. Dorothy Brett,Ceremonial Indian Dance: The Matachinas,1910,1977,1883
N00385,James Ward,View in Tabley Park,1800,1859,1769
N00542,Joseph Mallord William Turner,"Venice - Sunset, a Fisher",1800,1851,1775
N03850,Sir William Rothenstein,Jan Toorop,1900,1945,1872
N01924,Sir Joshua Reynolds,Mrs Hartley as a Nymph with a Young Bacchus,1750,1792,1723
N00416,Henry William Pickersgill,Robert Vernon,1810,1875,1782
T14996,David Oxtoby,Mingus Deep Blues,1940,1938,1938
T03648,William Evelyn Osborn,"Royal Avenue, Chelsea",1880,1906,1868
T03098,Paul Nash,Lares,1910,1946,1889
T00177,"Sir John Everett Millais, Bt",A Spanish Gentleman (after John Jackson’s ‘Shylock’),1850,1896,1829
N02999,Ambrose McEvoy,"W.A. Jowitt, later Earl Jowitt",1890,1927,1877
T14189,Ernest Mancoba,Untitled,1940,2002,1904
N01546,John Linnell,"Reapers, Noonday Rest",1820,1882,1792
N01655,Charles Parsons Knight,The Kyles of Bute,1850,1897,1829
T01878,Patrick Heron,Brown Ground with Soft Red and Green : August 1958 - July 1959,1950,1999,1920
T00526,Stephen Greene,The Return,1940,1999,1918
T07457,Paul Feiler,Portheras Grey,1950,2013,1918
T13813,Magda Cordell,No. 12,1950,2008,1921
N05571,Marie Cazin,Evening,1870,1924,1844
T06638,Avigdor Arikha,Jerusalem Seen from the South,1960,2010,1929
N00467,Joseph Mallord William Turner,"Sketch of a Bank, with Gipsies",1800,1851,1775
TW0285,Joseph Mallord William Turner,Modern Italy - the Pifferari,1800,1851,1775
N03557,Joseph Mallord William Turner,Landscape with Lake and Fallen Tree,1800,1851,1775
TW1206,Joseph Mallord William Turner,Fishing Boats Entering Calais Harbour,1800,1851,1775
T03581,Adrian Stokes,Still Life: Last Eleven (No. 11),1930,1972,1902
N00314,Samuel Scott,A View of Westminster Bridge and Parts Adjacent,1730,1772,1702
N04188,Sir Walter Russell,The Amber Beads,1890,1949,1867
N05788,George Romney,Lady Altamont,1760,1802,1734
N05949,Ceri Richards,"Cold Light, Deep Shadow",1930,1971,1903
T05738,Thérèse Oulton,Deposition,1950,1953,1953
N01355,James Bolivar Manson,Michaelmas Daisies,1900,1945,1879
T07288,Maria Lalic,History Painting 8 Egyptian. Orpiment,1950,1952,1952
T03965,Jacob Kramer,Dorothy Parker,1920,1962,1892
N04207,Arthur Boyd Houghton,Volunteers,1850,1875,1836
T00921,Philip James De Loutherbourg,Travellers Attacked by Banditti,1760,1812,1740
T07626,John Aldridge,Head and Fruit,1930,1983,1905
T12269,Fred Williams,Burnt Landscape II (Bushfire Series),1950,1982,1927
TW1776,Joseph Mallord William Turner,Going to the Ball (San Martino),1800,1851,1775
TW0527,Joseph Mallord William Turner,"Admiral Van Tromp’s Barge at the Entrance of the Texel, 1645",1800,1851,1775
T06865,William Scott,Black Painting,1940,1989,1913
N04489,George Romney,Dr John Matthews,1760,1802,1734
T05761,William Roberts,The Port of London,1920,1980,1895
N03313,Robert Noble,"Dirleton Church, East Lothian",1880,1917,1857
T06875,Myles Murphy,Figure with Yellow Foreground,1930,1927,1927
N01579,Colin Hunter,Their Only Harvest,1860,1904,1841
T01117,Howard Hodgkin,Mrs Nicholas Monro,1960,2017,1932
T06456,Sir Francis Grant,Portrait of a Lady (? Mrs Edmund Peel),1830,1878,1803
T11865,Nigel Cooke,Mirrors,1970,1973,1973
N05687,Sir William Coldstream,Havildar Ajmer Singh,1930,1987,1908
T04857,Frederick Brill,"Quarry Face, Worth Matravers",1940,1984,1920
T01883,Thomas Beach,Portrait of a Gentleman in a Green Robe,1760,1806,1738
T00923,Norman Adams,The Whole (The Dream I),1950,2005,1927
N02067,Joseph Mallord William Turner,Tivoli: Tobias and the Angel,1800,1851,1775
T04123,Adrian Stokes,"Landscape, West Penwith Moor",1930,1972,1902
N01567,Lady Dorothy Stanley,His First Offence,1880,1926,1855
T06674,Robert Edge Pine,"Still Life with Palette and Brushes, Fruit and Flowers",1750,1788,1730
T01069,Samuel Palmer,"The Waterfalls, Pistil Mawddach, North Wales",1830,1881,1805
T07032,Stephen McKenna,Three Baskets,2020,2017,2017
N04476,Ambrose McEvoy,Michael McEvoy,1890,1927,1877
N00613,Charles Robert Leslie,Uncle Toby and the Widow Wadman,1820,1859,1794
L03638,Jacqueline Humphries,Untitled,1960,1960,1960
T03424,John Ferneley I,"Sir Robert Leighton after Coursing, with a Groom and a Couple of Greyhounds",1810,1860,1782
T00199,William Etty,Britomart Redeems Faire Amoret,1810,1849,1787
N05110,Anthony Devas,Mrs Wilson,1930,1958,1911
T11909,René Daniëls,Mexican,1950,1950,1950
N05361,John Crome,Yarmouth Harbour - Evening,1790,1821,1768
N02645,John Crome,Moonrise on the Yare (?),1790,1821,1768
N04896,William Carter,The Refectory Table,1890,1939,1863
N04261,Eugène Carrière,Winding Wool,1870,1906,1849
N05104,Frederick Brown,The Ivy Arch,1880,1941,1851
T03955,Paule Vézelay,Forms on Grey,1920,1984,1892
T00034,Julian Trevelyan,Oxen,1940,1988,1910
T00112,Philip Sutton,Autumn Flowers,1930,1928,1928
N00320,Thomas Stothard,Diana and her Nymphs Bathing,1780,1834,1755
N03152,Charles Shannon,The Lady with the Amethyst,1890,1937,1863
N01517,Briton Riviere,Companions in Misfortune,1870,1920,1840
N03323,David Muirhead,Battersea Reach,1890,1930,1867
T01583,Rodrigo Moynihan,Interior with a Nude and a Still Life,1940,1990,1910
T12758,Jacob More,The Deluge,1760,1793,1740
T00159,John Minton,"Portuguese Cannon, Mazagan, Morocco",1930,1957,1917
N04887,Harrington Mann,The Fairy Tale,1890,1937,1864
N05778,Donald Maclaren,D.S. MacColl,1900,1917,1886
N01547,John Linnell,Contemplation,1820,1882,1792
T00877,Richard Lindner,Stranger No. 2,1930,1978,1901
N01798,Charles Robert Leslie,‘Slender Courting Anne Page’,1820,1859,1794
N00419,Frederick Richard Lee,"Sea Coast, Sunrise",1830,1879,1799
